"","reads.in","reads.out"
"T6-PVroot-25-5_S141_L001_R1_001.fastq.gz",74613,72265
"T6-PVroot-50-2_S142_L001_R1_001.fastq.gz",84599,82185
"T6-PVroot-50-3_S143_L001_R1_001.fastq.gz",82555,79951
"T6-PVroot-50-4_S144_L001_R1_001.fastq.gz",75162,73047
"T6-PVroot-noAs-1_S151_L001_R1_001.fastq.gz",99901,96585
"T6-PVroot-noAs-2_S152_L001_R1_001.fastq.gz",68499,66463
"T6-PVroot-noAs-3_S153_L001_R1_001.fastq.gz",70610,68551
"T6-PVshoot-25-1_S160_L001_R1_001.fastq.gz",142222,137603
"T6-PVshoot-25-3_S162_L001_R1_001.fastq.gz",124588,120608
"T6-PVshoot-50-1_S163_L001_R1_001.fastq.gz",106182,102708
"T6-PVshoot-50-2_S164_L001_R1_001.fastq.gz",119902,116045
"T6-PVshoot-50-4_S165_L001_R1_001.fastq.gz",97158,94467
"T6-PVshoot-noAs-1_S136_L001_R1_001.fastq.gz",156052,151212
"T6-PVshoot-noAs-2_S137_L001_R1_001.fastq.gz",1,1
"T6-PVshoot-noAs-3_S138_L001_R1_001.fastq.gz",101185,97850
"T6-PVsoilB-25-2_S127_L001_R1_001.fastq.gz",90376,87380
"T6-PVsoilB-25-3_S128_L001_R1_001.fastq.gz",119017,115202
"T6-PVsoilB-25-5_S129_L001_R1_001.fastq.gz",98957,96068
"T6-PVsoilB-50-1_S124_L001_R1_001.fastq.gz",140393,136047
"T6-PVsoilB-50-6_S126_L001_R1_001.fastq.gz",36133,34973
"T6-PVsoilB-noAs-1_S109_L001_R1_001.fastq.gz",122526,118233
"T6-PVsoilB-noAs-2_S110_L001_R1_001.fastq.gz",84096,81370
"T6-PVsoilB-noAs-3_S111_L001_R1_001.fastq.gz",124935,120945
"T6-PVsoilR-25-2_S115_L001_R1_001.fastq.gz",92695,89999
"T6-PVsoilR-25-4_S116_L001_R1_001.fastq.gz",105297,101745
"T6-PVsoilR-25-5_S117_L001_R1_001.fastq.gz",61063,59354
"T6-PVsoilR-50-3_S118_L001_R1_001.fastq.gz",100398,97703
"T6-PVsoilR-50-5_S119_L001_R1_001.fastq.gz",116774,113017
"T6-PVsoilR-50-6_S120_L001_R1_001.fastq.gz",72983,71146
"T6-PVsoilR-noAs-1_S97_L001_R1_001.fastq.gz",116698,112913
"T6-PVsoilR-noAs-2_S98_L001_R1_001.fastq.gz",81367,78802
"T6-PVsoilR-noAs-3_S99_L001_R1_001.fastq.gz",104083,100026
"T6-Soil-25-1_S103_L001_R1_001.fastq.gz",119329,115067
"T6-Soil-25-2_S104_L001_R1_001.fastq.gz",108078,103439
"T6-Soil-25-3_S105_L001_R1_001.fastq.gz",59546,57887
"T6-Soil-50-1_S100_L001_R1_001.fastq.gz",42020,40808
"T6-Soil-50-3_S102_L001_R1_001.fastq.gz",114891,110578
"T7-NC-1_S340_L001_R1_001.fastq.gz",93288,89429
"T7-NC-3_S342_L001_R1_001.fastq.gz",57108,55175
"T7-PEroot-25-1_S211_L001_R1_001.fastq.gz",52588,50867
"T7-PEroot-25-2_S212_L001_R1_001.fastq.gz",39738,38485
"T7-PEroot-25-3_S213_L001_R1_001.fastq.gz",34999,33845
"T7-PEroot-25-5_S215_L001_R1_001.fastq.gz",36650,35470
"T7-PEroot-25-6_S216_L001_R1_001.fastq.gz",64222,62458
"T7-PEroot-50-1_S217_L001_R1_001.fastq.gz",47265,45723
"T7-PEroot-50-2_S218_L001_R1_001.fastq.gz",37135,36122
"T7-PEroot-50-3_S219_L001_R1_001.fastq.gz",49016,47427
"T7-PEroot-50-4_S220_L001_R1_001.fastq.gz",86367,83640
"T7-PEroot-50-5_S221_L001_R1_001.fastq.gz",40413,39114
"T7-PEroot-50-6_S222_L001_R1_001.fastq.gz",53322,51598
"T7-PEroot-noAs-1_S238_L001_R1_001.fastq.gz",1,1
"T7-PEroot-noAs-2_S239_L001_R1_001.fastq.gz",77892,75401
"T7-PEroot-noAs-3_S240_L001_R1_001.fastq.gz",7077,6841
"T7-PEshoot-25-1_S184_L001_R1_001.fastq.gz",22524,21772
"T7-PEshoot-25-3_S186_L001_R1_001.fastq.gz",45188,43818
"T7-PEshoot-25-4_S187_L001_R1_001.fastq.gz",42178,40904
"T7-PEshoot-25-5_S188_L001_R1_001.fastq.gz",49621,48113
"T7-PEshoot-25-6_S189_L001_R1_001.fastq.gz",77876,75788
"T7-PEshoot-50-1_S193_L001_R1_001.fastq.gz",205,200
"T7-PEshoot-50-2_S194_L001_R1_001.fastq.gz",34525,33653
"T7-PEshoot-50-3_S195_L001_R1_001.fastq.gz",66280,64042
"T7-PEshoot-50-4_S196_L001_R1_001.fastq.gz",52358,50618
"T7-PEshoot-50-5_S197_L001_R1_001.fastq.gz",58773,56795
"T7-PEshoot-50-6_S198_L001_R1_001.fastq.gz",40060,38818
"T7-PEshoot-noAs-2_S227_L001_R1_001.fastq.gz",8029,7716
"T7-PEshoot-noAs-3_S228_L001_R1_001.fastq.gz",30311,29436
"T7-PEsoilB-25-1_S316_L001_R1_001.fastq.gz",82795,64885
"T7-PEsoilB-25-3_S318_L001_R1_001.fastq.gz",46664,45087
"T7-PEsoilB-25-4_S319_L001_R1_001.fastq.gz",51579,49861
"T7-PEsoilB-25-5_S320_L001_R1_001.fastq.gz",20729,20095
"T7-PEsoilB-25-6_S321_L001_R1_001.fastq.gz",61181,59166
"T7-PEsoilB-50-1_S322_L001_R1_001.fastq.gz",57320,55257
"T7-PEsoilB-50-2_S323_L001_R1_001.fastq.gz",45376,43847
"T7-PEsoilB-50-3_S324_L001_R1_001.fastq.gz",44187,42761
"T7-PEsoilB-50-4_S325_L001_R1_001.fastq.gz",65633,63524
"T7-PEsoilB-50-5_S326_L001_R1_001.fastq.gz",32347,31445
"T7-PEsoilB-50-6_S327_L001_R1_001.fastq.gz",44373,43104
"T7-PEsoilB-noAs-1_S331_L001_R1_001.fastq.gz",36897,35686
"T7-PEsoilB-noAs-2_S332_L001_R1_001.fastq.gz",36304,35212
"T7-PEsoilB-noAs-3_S333_L001_R1_001.fastq.gz",29572,28682
"T7-PEsoilR-25-1_S283_L001_R1_001.fastq.gz",45129,43691
"T7-PEsoilR-25-2_S284_L001_R1_001.fastq.gz",48227,46655
"T7-PEsoilR-25-3_S285_L001_R1_001.fastq.gz",40768,39459
"T7-PEsoilR-25-4_S289_L001_R1_001.fastq.gz",68878,66584
"T7-PEsoilR-25-5_S290_L001_R1_001.fastq.gz",52094,50662
"T7-PEsoilR-25-6_S291_L001_R1_001.fastq.gz",44962,43554
"T7-PEsoilR-50-1_S310_L001_R1_001.fastq.gz",38366,37280
"T7-PEsoilR-50-2_S311_L001_R1_001.fastq.gz",44571,43120
"T7-PEsoilR-50-3_S312_L001_R1_001.fastq.gz",43110,41886
"T7-PEsoilR-50-4_S313_L001_R1_001.fastq.gz",50326,48676
"T7-PEsoilR-50-5_S314_L001_R1_001.fastq.gz",61173,59245
"T7-PEsoilR-50-6_S315_L001_R1_001.fastq.gz",61236,59209
"T7-PEsoilR-noAs-1_S295_L001_R1_001.fastq.gz",72117,69694
"T7-PEsoilR-noAs-2_S296_L001_R1_001.fastq.gz",57461,55769
"T7-PEsoilR-noAs-3_S297_L001_R1_001.fastq.gz",44002,42541
"T7-PVroot-25-1_S199_L001_R1_001.fastq.gz",83077,80414
"T7-PVroot-25-2_S200_L001_R1_001.fastq.gz",39566,38194
"T7-PVroot-25-3_S201_L001_R1_001.fastq.gz",7359,7133
"T7-PVroot-25-5_S203_L001_R1_001.fastq.gz",25604,24839
"T7-PVroot-25-6_S204_L001_R1_001.fastq.gz",26767,26090
"T7-PVroot-50-1_S205_L001_R1_001.fastq.gz",53907,52189
"T7-PVroot-50-2_S206_L001_R1_001.fastq.gz",378,361
"T7-PVroot-50-3_S207_L001_R1_001.fastq.gz",52968,51487
"T7-PVroot-50-4_S208_L001_R1_001.fastq.gz",58298,56311
"T7-PVroot-50-5_S209_L001_R1_001.fastq.gz",51115,49414
"T7-PVroot-50-6_S210_L001_R1_001.fastq.gz",51650,50002
"T7-PVroot-noAs-1_S235_L001_R1_001.fastq.gz",39061,37862
"T7-PVroot-noAs-2_S236_L001_R1_001.fastq.gz",40632,39326
"T7-PVroot-noAs-3_S237_L001_R1_001.fastq.gz",35244,34141
"T7-PVshoot-25-1_S172_L001_R1_001.fastq.gz",135388,131195
"T7-PVshoot-25-3_S174_L001_R1_001.fastq.gz",141951,137646
"T7-PVshoot-25-4_S175_L001_R1_001.fastq.gz",115854,112251
"T7-PVshoot-25-5_S176_L001_R1_001.fastq.gz",125216,121279
"T7-PVshoot-25-6_S177_L001_R1_001.fastq.gz",101575,98792
"T7-PVshoot-50-1_S178_L001_R1_001.fastq.gz",1295,1247
"T7-PVshoot-50-2_S179_L001_R1_001.fastq.gz",123395,119603
"T7-PVshoot-50-3_S180_L001_R1_001.fastq.gz",56563,55089
"T7-PVshoot-50-4_S181_L001_R1_001.fastq.gz",86754,84032
"T7-PVshoot-50-5_S182_L001_R1_001.fastq.gz",32944,32087
"T7-PVshoot-50-6_S183_L001_R1_001.fastq.gz",42586,41379
"T7-PVshoot-noAs-1_S223_L001_R1_001.fastq.gz",37414,36260
"T7-PVshoot-noAs-2_S224_L001_R1_001.fastq.gz",33260,32164
"T7-PVshoot-noAs-3_S225_L001_R1_001.fastq.gz",36339,35331
"T7-PVsoilB-25-1_S298_L001_R1_001.fastq.gz",46124,44738
"T7-PVsoilB-25-2_S299_L001_R1_001.fastq.gz",47758,46171
"T7-PVsoilB-25-3_S300_L001_R1_001.fastq.gz",38752,37537
"T7-PVsoilB-25-4_S301_L001_R1_001.fastq.gz",61044,59000
"T7-PVsoilB-25-5_S302_L001_R1_001.fastq.gz",47744,46335
"T7-PVsoilB-25-6_S303_L001_R1_001.fastq.gz",44985,43540
"T7-PVsoilB-50-1_S304_L001_R1_001.fastq.gz",55046,49919
"T7-PVsoilB-50-3_S306_L001_R1_001.fastq.gz",56777,54939
"T7-PVsoilB-50-4_S307_L001_R1_001.fastq.gz",64631,62518
"T7-PVsoilB-50-5_S308_L001_R1_001.fastq.gz",66721,64666
"T7-PVsoilB-50-6_S309_L001_R1_001.fastq.gz",44398,43112
"T7-PVsoilB-noAs-1_S328_L001_R1_001.fastq.gz",76588,73945
"T7-PVsoilB-noAs-3_S330_L001_R1_001.fastq.gz",43348,42120
"T7-PVsoilR-25-1_S271_L001_R1_001.fastq.gz",112710,109049
"T7-PVsoilR-25-2_S272_L001_R1_001.fastq.gz",39538,38189
"T7-PVsoilR-25-3_S273_L001_R1_001.fastq.gz",82505,79746
"T7-PVsoilR-25-4_S274_L001_R1_001.fastq.gz",7,6
"T7-PVsoilR-25-5_S275_L001_R1_001.fastq.gz",95804,72415
"T7-PVsoilR-25-6_S276_L001_R1_001.fastq.gz",29905,29045
"T7-PVsoilR-50-1_S277_L001_R1_001.fastq.gz",23120,22381
"T7-PVsoilR-50-2_S278_L001_R1_001.fastq.gz",34515,33651
"T7-PVsoilR-50-3_S279_L001_R1_001.fastq.gz",52120,50365
"T7-PVsoilR-50-4_S280_L001_R1_001.fastq.gz",45205,43696
"T7-PVsoilR-50-5_S281_L001_R1_001.fastq.gz",39986,38609
"T7-PVsoilR-50-6_S282_L001_R1_001.fastq.gz",42469,41052
"T7-PVsoilR-noAs-1_S292_L001_R1_001.fastq.gz",68239,66193
"T7-PVsoilR-noAs-3_S294_L001_R1_001.fastq.gz",75236,72812
"T7-Soil-25-1_S334_L001_R1_001.fastq.gz",22813,22148
"T7-Soil-25-2_S335_L001_R1_001.fastq.gz",40412,38819
"T7-Soil-25-3_S336_L001_R1_001.fastq.gz",28916,28108
"T7-Soil-50-1_S337_L001_R1_001.fastq.gz",42998,41390
"T7-Soil-50-2_S338_L001_R1_001.fastq.gz",44681,43286
"T7-Soil-50-3_S339_L001_R1_001.fastq.gz",57104,55253
"Undetermined_S0_L001_R1_001.fastq.gz",5661734,4699200
