pathway	T7-PEsoilR-25-1	T7-PEsoilR-25-2	T7-PEsoilR-25-3	T7-PEsoilR-25-4	T7-PEsoilR-25-5	T7-PEsoilR-25-6	T7-PEsoilR-50-2	T7-PEsoilR-50-3	T7-PEsoilR-50-4	T7-PEsoilR-50-5	T7-PEsoilR-50-6	T7-PEsoilR-noAs-1	T7-PEsoilR-noAs-2	T7-PVsoilR-25-1	T7-PVsoilR-25-2	T7-PVsoilR-25-3	T7-PVsoilR-25-4	T7-PVsoilR-25-5	T7-PVsoilR-25-6	T7-PVsoilR-50-1	T7-PVsoilR-50-3	T7-PVsoilR-50-4	T7-PVsoilR-50-5	T7-PVsoilR-50-6	T7-PVsoilR-noAs-1	T7-PVsoilR-noAs-3
PHOSLIPSYN-PWY	12518.641492804174	14021.059174056194	14140.05044670085	27896.017820839785	16726.722968846763	14779.29375775491	15134.695320699835	17037.506197245802	14425.809084809494	18349.13108827087	17583.586955955077	24826.036986799136	18153.40201897786	30852.873389948254	9228.460008214415	25321.39392086089	0.0	22294.164486715486	7890.718367342364	6927.559080128186	14107.092485781173	10501.689968048278	10666.788503030728	9589.070414134232	17285.824815967946	26409.845021339617
POLYAMINSYN3-PWY	3914.9743173441366	4330.359309606363	4117.332703369726	7313.348713452328	4503.886534339737	4381.672955123052	4031.523813456714	4415.9310872722845	4511.374131170386	5599.719220820364	5618.293638181079	6639.247804266659	4883.5386760294905	9179.542769166605	2558.8751129131015	6969.733427278487	0.0	6281.294060468874	2091.603942779334	2279.626766623152	4691.334508059947	3321.351464886935	2991.506307379034	2725.445502829597	4631.612943326037	7116.914322410522
POLYAMSYN-PWY	4007.359176715572	4424.53197331108	4288.8086344602925	7689.727165231065	4609.57477878172	4415.489729590042	4205.7489449284885	4615.297790074803	4649.445067298846	5872.950378707893	5884.329464791016	6656.664650588079	4874.9407356624815	9492.386156445928	2611.8479398218087	7239.2984706593525	0.0	6636.873566345206	2142.8302757995475	2419.7875725394565	4877.779577867095	3430.8664869000713	2996.10781266487	2784.0744039638153	4623.105290130314	7098.25818426335
POLYISOPRENSYN-PWY	9815.341865954539	11265.863884044435	10226.135511327482	22006.530090695014	12736.861504222152	11740.25425022449	11552.690624909661	13615.43737092305	11276.078846490007	14173.345025131797	13468.710381901426	20656.279281925545	15108.46405409415	23635.707935655028	7125.520824047486	19030.622656093696	0.0	18151.455033537517	5869.039371592126	5454.529349130873	11437.392396800888	8347.038346138137	8412.042748638849	7613.9010526429	13793.542862052547	21650.624583113884
PPGPPMET-PWY	2548.8682175956724	3214.7625501581933	3441.9998251318584	4632.247476740414	3428.9365964858453	3151.495561080004	2980.6788022835494	3869.8493799803273	3434.808030418924	5762.0194171110015	4144.537385080533	4599.622080811157	3618.1094350646918	6183.848236115302	1552.4132549266021	4443.41308565566	0.0	5142.117100897211	1368.556900325629	1776.3112873089176	4436.102277492376	2130.4685298936306	2156.6131228729973	1902.564207907361	2916.6919618888123	5464.833052532305
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	3231.2013117519464	3276.697179475331	2799.4430425966	6155.228138519573	4112.296634754755	3144.4369610773556	3229.690303354871	4431.843701533094	3709.9946209973255	4909.498018433301	4533.609644029257	5841.279992393831	3980.6023772921117	9044.203590420762	2580.6021619639887	7207.6201150636	0.0	7869.51447391351	1757.930651613755	1834.378890364113	3800.249265982858	3481.742902860173	2405.7563150977303	2570.3262205389215	3011.25933095285	5518.939747508989
PRPP-PWY	5912.565862375945	6251.706977762945	4955.617953955215	9820.852372404459	6308.211009099266	6917.991874978142	5986.451455075634	8295.92310279158	6906.8073188316475	8882.493921684003	7180.894547781112	9652.223850763465	7608.563091037001	10296.721964654944	2310.435553880132	7810.788306998677	0.0	8755.056195426334	2632.689482363075	2233.600381696285	6307.556265416691	3543.7417068014793	4582.116860538291	3713.328537429476	5309.857521191279	7762.788352901155
PWY-1269	6704.255311178674	8096.103967483573	6107.470619322035	14797.46719216647	8118.535723660829	8231.352729447692	7869.847437726765	9182.96007861962	7384.222044387191	9635.30388222575	8699.475249796973	15026.68551416354	11245.90037103102	15348.453633867706	4738.210350488233	11693.63796968516	0.0	13358.395922419895	3676.287938769406	3553.4544478958283	8317.280009354628	5297.923986230866	5897.107592209611	5357.589793779887	9791.887039921998	15834.053098164111
PWY-1361	143.1177283493774	159.7281997760366	160.0767153855694	172.4533330681898	106.06987343688257	42.68105318186131	133.78995971899803	143.9682842365361	0.0	250.4371348483851	435.7572333814816	248.37412191655687	209.29204849560725	216.50069411389316	42.065131546382375	153.97027023337102	0.0	0.0	8.792121952332648	120.90320122360406	237.29693445871715	328.8526982617883	94.44999592697583	197.55348080686005	247.23879679254958	186.2541438376613
PWY-1422	52.01143087164216	67.1682551846988	342.2926542542451	378.3199701373854	225.48306155633514	91.80866402467498	109.73706976212732	283.47995611144506	274.3023040221712	225.1803416166264	303.38420633518797	121.83201267102608	165.80500257888085	466.3319041972318	364.22153916098904	506.17176691529374	0.0	0.0	339.6448003790526	313.05408310390834	383.31796733950375	264.94246213602514	290.70940967766154	322.698271987751	141.43252123189572	267.86106230059187
PWY-1501	127.22793538676717	174.58396132775835	187.62661603734833	200.64070667565775	221.34792946939842	130.60727099708865	63.818824335097986	194.86084906790566	252.64031470496533	237.84983640738994	338.4300667643889	356.79259245303655	245.33620341999082	190.71353691924944	7.6468762941983055	80.4259408824323	0.0	0.0	55.25300727575757	0.0	115.76226291480037	104.5310218854343	81.80841540292666	65.58245185121251	47.45066039107002	147.2371549545092
PWY-1541	24.14807524507455	24.50440296078642	10.419853077842578	43.38724599094965	99.3115811103079	75.38973796101948	0.0	26.093071616910034	5.291143864719185	133.78022938225715	122.68205831955517	65.558184742729	113.69228654197276	55.98653971982972	4.701327220267011	53.746412354138464	0.0	0.0	0.0	3.3302628537107175	0.0	5.995835429532085	17.3605877472338	12.204132750676335	7.4412318290736685	23.784239031425876
PWY-1622	331.8043083963772	228.47410795517612	801.9364824969537	1696.8973749120757	1506.8446939034966	1259.113747213457	1298.2038513999498	1012.4208980642906	1016.501141597733	1768.339551136804	1589.7373004873339	2148.865313488893	1522.1018730529743	4414.218222929622	701.2668104855494	3010.5600624388603	0.0	684.3870436087457	620.8024780013747	848.8919157736868	2068.7607597497486	851.0037219006974	712.6800610155306	799.6814958873002	1111.4193971753282	1265.9976149648223
PWY-181	4746.871500395984	5302.458781544393	4095.4849400089574	8690.775528177279	4980.686746121695	6127.80450228608	4583.243397669619	4635.225145859786	4448.891436836491	6654.410759863879	5505.709771183768	7415.41755022076	5876.464135971794	10727.462786963077	2923.3857924960575	7839.754689704014	0.0	10476.088868754296	2103.334251924998	2564.6230278802377	5317.558879979165	4012.0342702977496	3534.9499791491526	3061.5642835868184	4486.621735554642	7874.719474825529
PWY-1861	3464.044649241799	3459.8025907808906	2762.2461691804156	2933.440205477428	2084.7713197555777	3710.091495932909	3243.660877785087	2678.862888417788	2504.6767130424623	3277.5830237037103	3584.0475521155145	6087.184758323723	4324.009648716735	8724.407740563449	2702.515803272318	6590.439103581407	0.0	5890.690479581084	1591.1665622812095	2846.2646795024134	3041.9285961233422	2876.277471983832	1728.103411540768	1891.5023233996862	5139.845515096597	5456.410819159246
PWY-1882	130.88684617451992	112.54927701228237	344.71367425755795	590.0768598118366	540.075558869821	439.93153907282283	319.31215955582906	211.92423183078427	280.54447303044753	372.345108000602	413.7626234057057	585.436196009499	316.3950502914295	830.3979401962392	224.53491475563413	540.5628004295119	0.0	0.0	93.57285168942134	92.30306706398619	260.4465643908067	181.22613298110227	69.70844627714654	60.74038590214371	355.53430761018825	478.91268500367374
PWY-2941	1526.3972792629543	1928.8421855364866	2999.183455031192	5972.57824082913	3403.2424217786934	2253.526507917724	2591.8960399020475	2898.099944799619	4003.5512057407223	5939.369024908438	5397.093479333748	3998.755612673813	2395.4793728068435	7138.1823364843685	1723.718503674692	5467.727488451101	0.0	2214.1303663758877	1648.0858734331578	1699.2899626042722	2537.021293473285	2482.7300836135373	2300.88409602409	1901.9753395259781	4565.118560450921	6152.672132449877
PWY-2942	12906.80226822351	14476.331168286266	14242.195084055287	28325.235995484272	17041.367261677777	15424.308369275217	15051.39808596677	17703.34221019108	14979.795545832312	18479.079119652866	17571.2272109413	26532.988720628564	19225.43892024557	30820.192690848107	9157.729262609955	25398.267705991304	0.0	21443.89578753017	7797.012739854251	7351.878455238924	14947.832515367792	10693.204661612559	11048.009930632228	9807.727383573458	18254.130964588447	28009.077262426203
PWY-3001	13521.82476329267	15229.38693298785	15053.600210315553	30126.42781859627	18206.732540425368	16193.954952237882	15873.424432106242	18722.46701519837	16044.290902743891	20003.13854821879	18683.157471349674	29032.92225991535	21368.137173483152	32362.84490655431	9754.193120703994	26468.79036939325	0.0	22756.270397883378	8270.6733540927	7644.03475698817	15550.179162960767	11182.123356677626	11771.058997933384	10460.625660360614	19851.149759794014	30766.318727809852
PWY-3661	382.09173030165823	524.0027265465618	973.1583988818296	1378.1923313324996	1712.0188432772295	586.9926732392686	1104.7615173868026	1203.6273164988422	1286.2805162833336	1892.8596736793245	1470.165478940586	3028.5962874421903	2114.206736936952	3890.831602017524	81.90820409157818	3471.2673037720465	0.0	792.3552668433998	528.4642595458103	1290.8004381096898	2469.4878460454024	408.00546102523026	787.733422074664	673.5773386221222	678.5868874915751	1226.3335631893615
PWY-3781	33194.28485130373	37195.07053774556	36969.98230312643	73511.57843560861	43946.66742231242	39434.79938020722	39093.03773684161	45009.40305219693	37931.518638523456	46956.087662036894	45151.64453982187	67054.39579365867	49161.749022614036	79095.04528243291	23579.068405652186	64910.37475730211	0.0	59430.10019114697	19918.9541730935	19006.537939884856	37980.247749996954	29286.03930067458	28267.96550079883	25116.299253790414	46543.022578795266	71819.02923378906
PWY-3801	557.9075423306642	731.7764891877304	2544.956763071076	2842.453563861114	1938.895207716566	730.5729299994064	1117.9027951896296	2220.627814352152	1978.3408555646045	1713.228383270374	2433.7021664213303	978.3712779249405	1474.0206785239761	3774.8726108695196	2574.070031859655	4101.076696337274	0.0	0.0	2096.028811827637	2182.4558701015785	3068.6606985455905	1920.7952693127938	2067.5267268098187	2160.1501290477236	903.2521901760189	1969.2401264482933
PWY-3941	2.2213691587101407	0.0	4.914107619082076	2.4645012034576417	16.623545924048805	0.0	0.0	0.0	0.0	23.79713532107537	22.614888695326886	0.0	0.0	54.45386833426367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.863290587763705	7.994447019933077
PWY-4361	1263.0589200235881	1371.3628042231267	1838.579352823115	2893.516069100505	1841.1478140318518	1516.2135049490514	1631.2117387712467	1765.7546503152792	2133.3137940149923	2939.7266223686597	2880.970567931946	2385.7036006988146	1688.4377364448512	3973.8432261547005	967.8003118969489	3018.6719878845993	0.0	2113.2989470600073	880.6410679227461	1329.2644337079566	1695.3679737668842	1459.1255833563407	1242.9796819815003	1041.346819919419	2608.6853258174906	3218.6676879410593
PWY-4722	80.52011626096161	0.0	130.5758698791095	77.80551855322014	119.19254500809973	32.925456570263066	104.31269081179715	17.982725777489954	267.86994286294936	184.147678041992	160.52195308091697	125.28342802278661	139.80889677709618	158.32810180549384	14.980190246561383	164.17169410089116	0.0	28.98884174824815	0.0	2.999029413923657	101.43514855171877	90.28201972326887	59.653173203940966	118.69182686631045	83.51915816603085	216.94529472152996
PWY-4984	4936.869843703834	5637.190411812961	5367.190259778852	11294.82128244144	6322.313534017309	5027.739028069829	5897.817326654987	6533.297671167979	6328.761646924853	8417.931696210484	8244.316681720971	8986.172520157043	7332.178438963045	14287.891982474008	3819.5849416830642	11109.26437669703	0.0	8124.16633452183	3505.002944093984	3446.7879519030635	6982.337576045458	4735.9659519508705	4947.778687986744	4505.393683614451	7351.843432875307	11187.52968733614
PWY-5005	164.6114994060954	69.25649161178332	69.92990189014219	361.5109523102874	152.1750824408014	161.47315127970586	194.89353763292675	163.9597098497949	214.82017547067105	280.53535793543256	199.63724487341403	255.13710359984154	116.88381167468376	379.64673241306366	85.55507448069672	194.1798366377067	0.0	0.0	46.349019779493375	38.18205478973873	143.235005751098	75.18598358596304	200.70695656857214	135.8345395790574	109.68967914718203	271.5958630032754
PWY-5022	3919.256542333535	4484.2627048907	4189.681152091142	9426.674126311142	5343.252133020676	4728.707724014232	4975.872089157422	5065.434924006792	5008.792042697047	6880.611456891382	6467.077848297281	7110.755718032519	4801.600753307976	12309.220797094005	3427.767659109368	9430.95230105947	0.0	7040.712425081516	2383.0726210278144	2794.1206964016055	5038.262099945514	4203.895556057778	3499.476797032847	3146.8082149757033	5535.819681090053	8533.831675477844
