#OTU Table	T7-PEsoilR-25-1	T7-PEsoilR-25-2	T7-PEsoilR-25-3	T7-PEsoilR-25-4	T7-PEsoilR-25-5	T7-PEsoilR-25-6	T7-PEsoilR-50-2	T7-PEsoilR-50-3	T7-PEsoilR-50-4	T7-PEsoilR-50-5	T7-PEsoilR-50-6	T7-PEsoilR-noAs-1	T7-PEsoilR-noAs-2	T7-PVsoilR-25-1	T7-PVsoilR-25-2	T7-PVsoilR-25-3	T7-PVsoilR-25-4	T7-PVsoilR-25-5	T7-PVsoilR-25-6	T7-PVsoilR-50-1	T7-PVsoilR-50-3	T7-PVsoilR-50-4	T7-PVsoilR-50-5	T7-PVsoilR-50-6	T7-PVsoilR-noAs-1	T7-PVsoilR-noAs-3
sp94	34	42	51	71	54	36	0	77	0	87	0	71	63	213	0	109	0	0	0	0	94	0	0	37	0	0
sp95	0	0	8	12	0	16	0	0	0	0	0	37	46	19	0	0	0	0	0	0	21	45	18	0	15	0
sp96	7	0	20	0	17	20	0	16	20	0	0	12	0	21	0	0	0	0	0	12	19	0	17	23	27	30
sp97	0	18	28	35	47	0	40	30	61	48	46	59	45	94	46	67	0	0	12	11	16	0	0	0	0	15
sp98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp99	16	0	0	0	0	0	0	0	0	0	0	15	43	0	0	0	0	0	0	0	0	0	0	0	16	0
sp100	113	120	75	86	67	143	76	55	67	98	91	133	96	107	0	85	0	0	0	0	0	50	25	40	21	0
sp101	79	103	0	0	0	95	54	47	48	34	0	65	82	18	0	73	0	0	0	29	21	0	65	51	0	113
sp102	19	31	248	621	369	36	96	145	247	758	398	0	0	15	0	40	0	0	0	0	0	59	9	21	0	0
sp103	199	142	0	53	0	387	0	0	0	0	0	0	0	51	23	72	0	0	0	243	1369	456	292	208	82	0
sp104	0	0	101	71	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	62
sp105	49	33	38	30	37	30	71	74	16	23	43	71	47	91	0	49	0	0	0	12	12	12	23	28	24	33
sp109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp110	0	23	60	56	0	21	37	0	0	0	0	48	37	60	25	83	0	0	0	0	52	30	27	28	57	102
sp111	0	0	0	30	39	35	38	0	60	42	55	36	0	85	0	58	0	0	0	0	60	0	45	0	60	84
sp112	0	0	0	0	0	0	20	0	0	150	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
sp115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp116	0	0	0	0	0	0	0	0	0	141	51	0	0	142	0	0	0	0	0	0	0	0	0	0	25	0
sp117	128	100	0	204	36	184	33	28	65	46	105	40	28	60	18	87	0	0	0	0	0	0	0	0	58	0
sp118	0	0	0	55	47	0	79	97	0	0	0	86	65	136	0	60	0	0	0	0	42	0	0	0	0	0
sp119	107	222	226	338	207	427	195	302	195	918	287	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0
sp120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp121	0	0	0	0	31	0	0	0	34	0	0	0	0	0	46	72	0	0	0	26	0	0	0	39	28	0
sp122	0	0	34	0	0	0	0	0	0	0	0	83	0	0	0	76	0	0	0	0	0	0	0	0	0	0
sp123	28	35	45	94	49	26	48	52	49	55	49	55	49	41	26	22	0	0	6	0	57	32	20	0	44	38
sp124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp125	537	786	169	446	170	1162	66	0	11	0	0	154	141	33	0	0	0	0	0	49	188	238	186	0	44	159
sp126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0
sp127	39	89	24	51	39	62	0	16	15	21	21	76	53	36	34	47	0	0	20	15	23	10	13	8	37	49
sp129	0	0	0	0	0	0	29	0	35	132	84	56	56	0	0	0	0	0	0	0	0	0	0	0	17	20
sp130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp131	0	0	0	0	0	0	0	0	0	0	0	0	0	86	28	91	0	118	0	31	31	47	45	51	0	12
sp132	0	0	0	0	101	0	0	0	0	0	0	0	0	89	0	92	0	0	0	0	0	0	0	0	96	0
