"","taxon","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","threshold"
"14395","sp27730",1.00710065979848,0.0119726409554974,0.186656663877272,0.0641425851442917,0.948856693597905,NA,"PE vs. PV","Not_Enriched"
"14396","sp27735",1.00710065979848,0.0119726409554974,0.186656663877272,0.0641425851442917,0.948856693597905,NA,"PE vs. PV","Not_Enriched"
"14397","sp27756",1.00710065979848,0.0119726409554974,0.186656663877272,0.0641425851442917,0.948856693597905,NA,"PE vs. PV","Not_Enriched"
"14398","sp27759",1.01129691254764,0.0238467406137344,0.186292980332649,0.128006651518233,0.898143709198442,NA,"PE vs. PV","Not_Enriched"
"14399","sp27761",1.00710065979848,0.0119726409554974,0.186656663877272,0.0641425851442917,0.948856693597905,NA,"PE vs. PV","Not_Enriched"
"14400","sp27765",1.00710065979848,0.0119726409554974,0.186656663877272,0.0641425851442917,0.948856693597905,NA,"PE vs. PV","Not_Enriched"
"14401","sp27779",1.00710065979848,0.0119726409554974,0.186656663877272,0.0641425851442917,0.948856693597905,NA,"PE vs. PV","Not_Enriched"
"14402","sp27784",1.01129691254764,0.0238467406137344,0.186292980332649,0.128006651518233,0.898143709198442,NA,"PE vs. PV","Not_Enriched"
"14403","sp27785",1.00710065979848,0.0119726409554974,0.186656663877272,0.0641425851442917,0.948856693597905,NA,"PE vs. PV","Not_Enriched"
"14404","sp27789",1.00710065979848,0.0119726409554974,0.186656663877272,0.0641425851442917,0.948856693597905,NA,"PE vs. PV","Not_Enriched"
"14405","sp27794",1.00710065979848,0.0119726409554974,0.186656663877272,0.0641425851442917,0.948856693597905,NA,"PE vs. PV","Not_Enriched"
"14406","sp27802",1.00710065979848,0.0119726409554974,0.186656663877272,0.0641425851442917,0.948856693597905,NA,"PE vs. PV","Not_Enriched"
"14407","sp27804",1.00710065979848,0.0119726409554974,0.186656663877272,0.0641425851442917,0.948856693597905,NA,"PE vs. PV","Not_Enriched"
"14408","sp27809",1.00710065979848,0.0119726409554974,0.186656663877272,0.0641425851442917,0.948856693597905,NA,"PE vs. PV","Not_Enriched"
"14409","sp27827",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
